Industry Name,Number of firms,Levered Beta ,D/E Ratio,Effective Tax rate,Cash/Firm value,HiLo Risk,Standard deviation of equity,Standard deviation in operating income (last 10 years),2019,2020,2021,2022,Average (2019-23)
Advertising,58,1.63173806,0.449889448,0.063905088,0.093488854,0.686745402,0.527221145,0.14396894,0.867981315,0.934953143,0.77,1.10182469,1.004130363
Aerospace/Defense,77,1.41418228,0.260571207,0.086027664,0.037667224,0.472073857,0.37555545,0.191867388,1.092226033,1.07852216,0.91,1.110412672,1.084091415
Air Transport,21,1.415965088,1.863343711,0.104718127,0.148990715,0.440269529,0.377274987,2.212009841,0.634490128,0.843672998,0.91,0.914138228,0.799259871
Apparel,39,1.324697403,0.515723516,0.120381183,0.060170318,0.521983271,0.385087469,0.2301817,0.763172924,0.829641001,0.94,1.098346043,0.929507942
Auto & Truck,31,1.540597675,0.501909837,0.029973505,0.086707774,0.690635262,0.526141249,0.460969104,0.341871096,0.52573504,1.05,1.020765804,0.832780755
Auto Parts,37,1.473991813,0.426554041,0.092966768,0.071275727,0.509928764,0.395193948,0.254168124,0.967885064,0.946993577,1.09,1.212594355,1.083981891
Bank (Money Center),7,1.080101588,2.163847743,0.162531592,0.44301926,0.223547263,0.195943234,NA,0.428233451,0.559541467,0.59,1.032514746,0.669926219
Banks (Regional),557,0.504874235,0.646198111,0.188384626,0.176564003,0.175651426,0.167580829,0.954916349,0.404351658,0.431315582,0.6,0.841273892,0.537984354
Beverage (Alcoholic),23,1.012974233,0.22909688,0.093937842,0.018550559,0.587058259,0.498746764,0.337995604,1.047964901,0.918882558,0.67,0.720524812,0.847630912
Beverage (Soft),31,1.303443307,0.152690446,0.064164664,0.026552309,0.610521321,0.417171469,0.093564845,1.044563275,1.090713193,0.71,1.115547333,1.032447459
Broadcasting,26,1.322058643,1.468320762,0.157632322,0.103936305,0.558392045,0.468984146,0.316591001,0.508654665,0.72993739,0.65,0.811272124,0.680404828
Brokerage & Investment Banking,30,1.20480829,2.010883154,0.153165321,0.307596983,0.35452868,0.279962493,0.378797968,0.457671018,0.567674324,0.57,0.670070312,0.591833243
Building Materials,45,1.277280095,0.289262084,0.167056849,0.044413029,0.420782375,0.291899138,0.513694711,0.914934303,1.018531284,0.97,1.087149923,1.017794954
Business & Consumer Services,164,1.17092002,0.274738134,0.094263091,0.048045201,0.538423138,0.457824937,0.188855823,1.000191127,0.894886617,0.83,0.986113148,0.946211933
Cable TV,10,1.255164196,1.072658446,0.219489431,0.014652309,0.406751026,0.254069175,0.287321102,0.761515774,0.776608279,0.7,0.664138611,0.721636582
Chemical (Basic),38,1.247101477,0.483005673,0.098288917,0.0453822,0.526962356,0.465790044,0.434510616,1.122694541,0.992956612,0.76,0.937128425,0.954353922
Chemical (Diversified),4,1.412591231,0.582421182,0.120244241,0.098248914,0.448923803,0.394931761,0.414600832,1.491355418,1.214716537,1.03,1.207910113,1.206847727
Chemical (Specialty),76,1.277294708,0.27404332,0.107497646,0.049966819,0.488181959,0.423204691,0.115904563,0.98902379,0.964857094,0.82,0.997722954,0.977371378
Coal & Related Energy,19,1.452178882,0.217088364,0.022762443,0.126017482,0.550225567,0.619567394,NA,0.967284292,1.048664364,0.56,0.819710873,0.964914823
Computer Services,80,1.171386932,0.325630521,0.06470762,0.052114354,0.605268597,0.477753002,0.26370039,1.046259246,0.952866265,0.94,1.057621317,0.997993724
Computers/Peripherals,42,1.291086365,0.095226989,0.091326262,0.017944828,0.460021295,0.487254444,0.250204249,1.498278928,1.640083339,1.14,1.248770894,1.350835107
Construction Supplies,49,1.264396003,0.301262772,0.105179072,0.041538929,0.457340954,0.351116453,0.193052422,1.149597054,1.103596548,0.87,0.979648599,1.035780651
Diversified,23,1.038228475,0.212365706,0.029800285,0.046739476,0.564323478,0.578444387,0.487180744,1.143809081,1.24848283,0.89,0.702141462,0.984785958
Drugs (Biotechnology),598,1.24174228,0.153208642,0.009366988,0.071437251,0.653999061,0.584140933,0.298125699,1.43078356,1.389173134,0.85,0.972232896,1.168327709
Drugs (Pharmaceutical),281,1.268006156,0.13615574,0.023739474,0.025649637,0.691912254,0.64883554,0.185469718,1.37908717,1.285657537,0.84,1.009823574,1.139074875
Education,33,1.100828889,0.306104208,0.070982357,0.099048606,0.548316686,0.418126019,0.174676993,1.108375512,1.356014659,1.07,1.103316908,1.126284632
Electrical Equipment,110,1.589668662,0.225178971,0.044688548,0.050721749,0.594402876,0.585548594,0.139523922,1.182397925,1.307118859,1,1.19432733,1.223299799
Electronics (Consumer & Office),16,1.538919124,0.164544154,0.039839423,0.150765167,0.596180237,0.395647132,3.281674067,1.224027706,1.250794358,1.01,1.05715968,1.231008288
Electronics (General),138,1.201252765,0.188152967,0.06290652,0.056857388,0.503076131,0.449375867,0.253725387,0.960660304,1.070921529,0.86,1.051017268,1.011752472
Engineering/Construction,43,1.196764014,0.31592166,0.132961567,0.049237984,0.421938359,0.351668481,0.151953998,0.810158784,1.325037877,0.95,0.973962525,1.015356771
Entertainment,110,1.449795017,0.332805001,0.034485774,0.069023483,0.688274442,0.578095571,0.257329139,1.214012433,1.201703037,0.84,0.964248476,1.093237271
Environmental & Waste Services,62,1.015345411,0.255364863,0.054211006,0.008113708,0.615661568,0.480873468,0.133149268,0.960175196,1.048510131,0.82,1.08618298,0.954795852
Farming/Agriculture,39,1.140313576,0.338666802,0.066354615,0.023316489,0.589028917,0.544267096,0.260899873,0.495878066,0.627451148,0.68,0.847865207,0.716448826
Financial Svcs. (Non-bank & Insurance),223,0.885725074,10.04396335,0.146085855,0.022363595,0.337842501,0.271453065,0.616703791,0.075615335,0.098263138,0.11,0.151758747,0.108362393
Food Processing,92,0.917520233,0.2885787,0.077369309,0.018736494,0.486608867,0.342287834,0.169712717,0.611421992,0.696808248,0.53,0.632413846,0.647863352
Food Wholesalers,14,1.123705827,0.46156459,0.119372553,0.012964299,0.479293147,0.324183087,0.256324236,1.234429635,0.657766173,0.8,1.083475211,0.924275147
Furn/Home Furnishings,32,1.270895563,0.559362012,0.12672224,0.059473626,0.548360045,0.419118422,0.249121949,0.667808647,0.81832731,0.78,0.99306864,0.842223366
Green & Renewable Energy,19,1.600701111,1.211164035,0.06727923,0.043792475,0.677060305,0.675983592,0.62821896,0.798763094,0.593772952,0.68,1.095256776,0.808997028
Healthcare Products,254,1.162383195,0.126028067,0.036967519,0.031994528,0.593855427,0.509401225,0.3009798,1.041242058,0.981818684,0.8,0.912380019,0.966508747
Healthcare Support Services,131,1.160365276,0.236054383,0.067422783,0.080849129,0.563598403,0.477925085,0.275858149,1.026650737,0.946238215,0.74,0.949846951,0.947056618
Heathcare Information and Technology,138,1.471509454,0.142081441,0.043049399,0.029861395,0.617287922,0.538717376,0.489662919,1.177073444,1.152697352,0.75,0.908888303,1.071879057
Homebuilding,32,1.502207138,0.32335735,0.178146399,0.093127544,0.412720832,0.333303871,0.705762189,0.724614917,0.664055839,1.33,1.585557318,1.127476781
Hospitals/Healthcare Facilities,34,1.174001445,0.87237426,0.095570196,0.018538213,0.602790933,0.511944233,0.186098605,0.552195112,0.62556239,0.8,0.963581998,0.732883795
Hotel/Gaming,69,1.459976537,0.665772092,0.081424229,0.082200351,0.484995669,0.380513592,1.00240988,0.711711947,0.914444624,1.19,1.437433728,1.062911045
Household Products,127,1.155000984,0.15523976,0.067270246,0.022054658,0.657658601,0.568275249,0.069188306,0.997250667,0.937057245,0.68,0.920071747,0.918451901
Information Services,73,1.404712879,0.130587553,0.124495295,0.040524176,0.476812151,0.451093706,0.283545057,1.04761476,1.031515897,0.97,1.203866785,1.117288212
Insurance (General),21,1.227761354,0.304889714,0.102638867,0.026949929,0.452122473,0.437610285,0.379897522,0.67179162,0.592699284,0.56,0.810909133,0.732467726
Insurance (Life),27,0.93935366,0.924032067,0.11407565,0.168738396,0.377378136,0.288914545,0.195315593,0.703356281,0.732480574,0.64,0.882988203,0.725257946
Insurance (Prop/Cas.),51,0.803301363,0.214659487,0.109240659,0.051581418,0.352709188,0.276671833,0.254310289,0.65115066,0.589071525,0.58,0.784777266,0.6669076
Investments & Asset Management,600,0.623612954,0.38346906,0.040125418,0.09936122,0.149936168,0.099064267,0.261212871,0.866684474,0.86018284,0.78,0.965117605,0.801947601
Machinery,116,1.224816899,0.208424935,0.103665823,0.031620152,0.422406566,0.323620336,0.169121606,1.012165305,1.098521062,0.96,1.178264297,1.068555149
