Country,GDP (in billions),Rating-based Default Spread,Corporate Tax Rate,Region
Angola,72546.98571,0.079525459,0.25,Africa
Benin,17785.64008,0.055078211,0.3,Africa
Botswana,17613.84647,0.014668349,0.22,Africa
Burkina Faso,19737.61511,0.091749083,0.28,Africa
Cameroon,45238.61348,0.067301835,0.33,Africa
Cape Verde,1.7,0.079525459,0,Africa
Congo (Democratic Republic of),53958.57369,0.079525459,0.3,Africa
Congo (Republic of),12523.96168,0.110156422,0.28,Africa
Côte d'Ivoire,69764.82747,0.044005046,0.25,Africa
Egypt,404142.7661,0.067301835,0.225,Africa
Ethiopia,111271.1123,0.110156422,0.3,Africa
Gabon,18269.35043,0.091749083,0.3,Africa
Ghana,77594.27905,0.146827294,0.25,Africa
Kenya,110347.0795,0.067301835,0.3,Africa
Mali,19143.7415,0.110156422,0.2281,Africa
Mauritius,11156.65777,0.026891972,0.15,Africa
Morocco,132725.2615,0.030630963,0.31,Africa
Mozambique,16095.8289,0.110156422,0.32,Africa
Namibia,12236.25078,0.055078211,0.32,Africa
Niger,14950.94988,0.079525459,0.2281,Africa
Nigeria,440776.9715,0.079525459,0.3,Africa
Rwanda,11070.35652,0.067301835,0.3,Africa
Senegal,27625.38835,0.044005046,0.3,Africa
South Africa,419946.4281,0.036814679,0.27,Africa
Swaziland,4941.373182,0.079525459,0.275,Africa
Tanzania,67775.10179,0.067301835,0.3,Africa
Togo,8413.200568,0.079525459,0.2281,Africa
Tunisia,46840.04294,0.091749083,0.15,Africa
Uganda,40434.70152,0.067301835,0.3,Africa
Zambia,21203.05908,0.146827294,0.35,Africa
Bangladesh,416264.9429,0.044005046,0.325,Asia
Cambodia,26961.06112,0.067301835,0.2,Asia
China,17734062.65,0.00862844,0.25,Asia
Fiji,4592.11871,0.055078211,0.2,Asia
Hong Kong,346600,0.007334174,0.165,Asia
India,3173397.591,0.026891972,0.3,Asia
Indonesia,1186092.991,0.023296789,0.15,Asia
Japan,4937421.88,0.00862844,0.232,Asia
Korea,1630.53,0.006039908,0.25,Asia
Laos,18827.14853,0.122380046,0.2281,Asia
Macao,29905.19018,0.007334174,0.2281,Asia
Malaysia,372701.3588,0.014668349,0.24,Asia
Maldives,4889.666932,0.091749083,0.2281,Asia
Mongolia,15098.02283,0.079525459,0.25,Asia
Pakistan,346343.1705,0.091749083,0.29,Asia
Papua New Guinea,26594.27725,0.067301835,0.3,Asia
Philippines,394086.4193,0.023296789,0.25,Asia
Singapore,396986.8999,0,0.17,Asia
Solomon Islands,1645.213882,0.091749083,0.3,Asia
Sri Lanka,84518.83039,0.146827294,0.24,Asia
Taiwan,689000,0.007334174,0.2,Asia
Thailand,505981.6556,0.019557798,0.2,Asia
Vietnam,362637.5241,0.036814679,0.2,Asia
Australia,1542659.9,0,0.3,Australia & New Zealand
Cook Islands,0.384,0.055078211,0.2843,Australia & New Zealand
New Zealand,249991.5122,0,0.28,Australia & New Zealand
Aruba,2496.648045,0.023296789,0.25,Caribbean
Bahamas,11.209,0.055078211,0,Caribbean
Barbados,4900.8,0.091749083,0.055,Caribbean
Bermuda,7080.9,0.010354128,0,Caribbean
Cayman Islands,5608.989196,0.007334174,0,Caribbean
Cuba,107352,0.146827294,0.2718,Caribbean
Curacao,3.1,0.023296789,0.22,Caribbean
Dominican Republic,94243.45394,0.044005046,0.27,Caribbean
Jamaica,13638.231,0.067301835,0.25,Caribbean
Montserrat,25000,0.026891972,0.2718,Caribbean
St. Maarten,11900,0.036814679,0.2718,Caribbean
St. Vincent & the Grenadines,8100,0.079525459,0.2718,Caribbean
Trinidad and Tobago,21391.80231,0.036814679,0.3,Caribbean
Turks and Caicos Islands,943.269768,0.019557798,0,Caribbean
Argentina,491492.7007,0.146827294,0.35,Central and South America
